dir,pwm,GroupCount,mean_cpsL,std_cpsL,mean_cpsR,std_cpsR,mean_ratio,std_ratio
1,60,5,1355.8,5.88005102018681,1492.4,18.3111987592293,0.9085784,0.0117969570568007
1,70,5,1616.6,1.71026313764871,1745.6,1.47478812037526,0.9261012,0.00175010033998054
1,80,5,1865.5,5.65685424949238,1989.7,0.908295106229248,0.9375792,0.00312283552240587
1,90,5,2124.5,3.46410161513775,2320,3.65718470958195,0.915733,0.00111802772774205
1,100,5,2331.3,4.65832587954085,2505.9,0.821583836257749,0.9303246,0.0019630846390311
1,110,5,2650.4,6.90470853838162,2760.1,3.13049516849971,0.9602546,0.00206729855124992
1,120,5,2908.5,0.5,3017.8,2.43926218353009,0.9637822,0.000804186980745163
1,130,5,3141,3.74165738677394,3287.3,1.44048602908879,0.9554958,0.00139113665755738
1,140,5,3448.6,35.4549009306189,3541.8,31.085768447957,0.973683,0.00454246271311056
1,150,5,3679.2,2.51495526799186,3821.9,8.5834142391009,0.9626668,0.00248372878954206
1,160,5,3905.2,46.8222703422207,4068.8,5.76194411635517,0.9597942,0.0116957649258183
1,170,5,4115.9,7.0657625207758,4344.7,8.91347294829574,0.9473396,0.00174517858685006
1,180,5,4358.3,4.39602092806665,4574.6,11.1993303371228,0.95272,0.00159689057233111
1,190,5,4606.7,24.2605647090087,4819,2.57390753524675,0.9559462,0.00528640659616721
1,200,5,4763.4,10.1143462467922,5048,10.9601551083915,0.9436248,0.00278703134176853
NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN
