wheel,pwm,GroupCount,mean_cps,std_cps,mean_is_moving,std_is_moving
L,0,3,0,0,0,0
L,2,3,0,0,0,0
L,4,3,0,0,0,0
L,6,3,0.416666666666667,0.721687836487032,0,0
L,8,3,0,0,0,0
L,10,3,0,0,0,0
L,12,3,0,0,0,0
L,14,3,0,0,0,0
L,16,3,220.416666666667,37.6317131331186,1,0
L,18,3,202.916666666667,176.220446694852,0.666666666666667,0.577350269189626
L,20,3,325,50.046853047919,1,0
L,22,3,427.083333333333,13.4822414061362,1,0
L,24,3,499.583333333333,1.90940653956493,1,0
L,26,3,547.083333333333,4.0181878170804,1,0
L,28,3,605.416666666667,4.73242362150023,1,0
L,30,3,664.583333333333,1.44337567297406,1,0
L,32,3,719.583333333333,1.90940653956493,1,0
L,34,3,779.166666666667,2.60208249933267,1,0
L,36,3,837.5,1.25,1,0
L,38,3,890.833333333333,4.0181878170804,1,0
L,40,3,948.333333333333,3.60843918243516,1,0
L,42,3,996.666666666667,6.41450179930861,1,0
L,44,3,1048.75,2.5,1,0
L,46,3,1109.16666666667,5.20416499866533,1,0
L,48,3,1160.41666666667,1.90940653956493,1,0
L,50,3,1257.91666666667,3.60843918243516,1,0
L,52,3,1257.91666666667,0.721687836487032,1,0
L,54,3,1260,2.1650635094611,1,0
L,56,3,1372.91666666667,3.14576434802948,1,0
L,58,3,1373.75,92.0173217388987,1,0
L,60,3,1485.41666666667,2.60208249933267,1,0
L,62,3,1544.16666666667,4.38985573035531,1,0
L,64,3,1587.91666666667,2.60208249933267,1,0
L,66,3,1645,0,1,0
L,68,3,1699.58333333333,6.88446318410763,1,0
L,70,3,1752.08333333333,4.0181878170804,1,0
L,72,3,1807.91666666667,2.60208249933267,1,0
L,74,3,1863.75,6.95970545353753,1,0
L,76,3,1910,2.5,1,0
L,78,3,1967.5,3.30718913883074,1,0
L,80,3,2018.75,5.7282196186948,1,0
L,82,3,2083.75,0,1,0
L,84,3,2148.75,3.30718913883074,1,0
L,86,3,2200,3.30718913883074,1,0
L,88,3,2257.91666666667,1.90940653956493,1,0
L,90,3,2308.75,1.25,1,0
L,92,3,2365,1.25,1,0
L,94,3,2485.83333333333,10.1806597690588,1,0
L,96,3,2505,1.25,1,0
L,98,3,2510.41666666667,2.60208249933267,1,0
L,100,3,2534.16666666667,32.1211897870134,1,0
L,102,3,2645.83333333333,3.14576434802948,1,0
L,104,3,2703.75,3.30718913883074,1,0
L,106,3,2770,3.75,1,0
L,108,3,2803.75,4.50693909432999,1,0
L,110,3,2869.16666666667,1.44337567297406,1,0
L,112,3,2931.66666666667,7.32433159635289,1,0
L,114,3,2992.5,2.1650635094611,1,0
L,116,3,3044.58333333333,3.60843918243516,1,0
L,118,3,3102.5,5.7282196186948,1,0
L,120,3,3131.66666666667,6.16610357789531,1,0
R,0,3,0,0,0,0
R,2,3,0,0,0,0
R,4,3,0,0,0,0
R,6,3,0,0,0,0
R,8,3,0,0,0,0
R,10,3,0,0,0,0
R,12,3,0,0,0,0
R,14,3,252.916666666667,22.0911935696859,1,0
R,16,3,323.333333333333,3.14576434802948,1,0
R,18,3,380.416666666667,0.721687836487032,1,0
R,20,3,440.833333333333,1.90940653956493,1,0
R,22,3,500.416666666667,1.90940653956493,1,0
R,24,3,552.083333333333,0.721687836487032,1,0
R,26,3,611.666666666667,1.44337567297406,1,0
R,28,3,665.833333333333,1.90940653956493,1,0
R,30,3,725.833333333333,2.60208249933267,1,0
R,32,3,780.416666666667,1.90940653956493,1,0
R,34,3,839.166666666667,1.90940653956493,1,0
R,36,3,891.666666666667,0.721687836487032,1,0
R,38,3,949.166666666667,4.0181878170804,1,0
R,40,3,1005.41666666667,0.721687836487032,1,0
R,42,3,1064.16666666667,1.90940653956493,1,0
R,44,3,1117.91666666667,1.90940653956493,1,0
R,46,3,1179.16666666667,3.14576434802948,1,0
R,48,3,1258.75,2.5,1,0
R,50,3,1260,0,1,0
R,52,3,1344.58333333333,4.73242362150023,1,0
R,54,3,1400.83333333333,5.05181485540923,1,0
R,56,3,1454.16666666667,1.44337567297406,1,0
R,58,3,1513.75,3.30718913883074,1,0
R,60,3,1570,3.75,1,0
R,62,3,1631.66666666667,1.90940653956493,1,0
R,64,3,1687.5,2.1650635094611,1,0
R,66,3,1744.58333333333,1.90940653956493,1,0
R,68,3,1800.41666666667,0.721687836487032,1,0
R,70,3,1880.83333333333,6.4145017993086,1,0
R,72,3,1907.91666666667,3.14576434802948,1,0
R,74,3,1970.41666666667,3.14576434802948,1,0
R,76,3,2025,4.50693909432999,1,0
R,78,3,2081.25,5.44862367942584,1,0
R,80,3,2143.75,3.75,1,0
R,82,3,2201.66666666667,1.90940653956493,1,0
R,84,3,2258.33333333333,4.38985573035531,1,0
R,86,3,2313.75,3.30718913883074,1,0
R,88,3,2370.41666666667,2.60208249933267,1,0
R,90,3,2492.91666666667,5.20416499866533,1,0
R,92,3,2507.91666666667,1.90940653956493,1,0
R,94,3,2513.33333333333,2.60208249933267,1,0
R,96,3,2591.25,6.61437827766148,1,0
R,98,3,2657.5,4.33012701892219,1,0
R,100,3,2715.83333333333,1.90940653956493,1,0
R,102,3,2769.16666666667,2.88675134594813,1,0
R,104,3,2827.91666666667,5.63656219102862,1,0
R,106,3,2876.25,1.25,1,0
R,108,3,2937.08333333333,0.721687836487032,1,0
R,110,3,2999.16666666667,0.721687836487032,1,0
R,112,3,3056.66666666667,1.44337567297406,1,0
R,114,3,3114.58333333333,0.721687836487032,1,0
R,116,3,3170,4.33012701892219,1,0
R,118,3,3221.66666666667,3.14576434802948,1,0
R,120,3,3266.66666666667,0.721687836487032,1,0
wheel,NaN,1,NaN,NaN,NaN,NaN
