wheel,pwm,rep,cps,is_moving
R,56,2,1452.5,1
R,56,3,1455,1
R,58,1,1511.25,1
R,58,2,1517.5,1
R,58,3,1512.5,1
R,60,1,1570,1
R,60,2,1573.75,1
R,60,3,1566.25,1
R,62,1,1630,1
R,62,2,1633.75,1
R,62,3,1631.25,1
R,64,1,1685,1
R,64,2,1688.75,1
R,64,3,1688.75,1
R,66,1,1742.5,1
R,66,2,1745,1
R,66,3,1746.25,1
R,68,1,1801.25,1
R,68,2,1800,1
R,68,3,1800,1
R,70,1,1873.75,1
R,70,2,1886.25,1
R,70,3,1882.5,1
R,72,1,1911.25,1
R,72,2,1905,1
R,72,3,1907.5,1
R,74,1,1973.75,1
R,74,2,1967.5,1
R,74,3,1970,1
R,76,1,2026.25,1
R,76,2,2020,1
R,76,3,2028.75,1
R,78,1,2078.75,1
R,78,2,2077.5,1
R,78,3,2087.5,1
R,80,1,2140,1
R,80,2,2147.5,1
R,80,3,2143.75,1
R,82,1,2200,1
R,82,2,2201.25,1
R,82,3,2203.75,1
R,84,1,2262.5,1
R,84,2,2253.75,1
R,84,3,2258.75,1
R,86,1,2317.5,1
R,86,2,2311.25,1
R,86,3,2312.5,1
R,88,1,2372.5,1
R,88,2,2367.5,1
R,88,3,2371.25,1
R,90,1,2488.75,1
R,90,2,2498.75,1
R,90,3,2491.25,1
R,92,1,2507.5,1
R,92,2,2510,1
R,92,3,2506.25,1
R,94,1,2511.25,1
R,94,2,2516.25,1
R,94,3,2512.5,1
R,96,1,2588.75,1
R,96,2,2598.75,1
R,96,3,2586.25,1
R,98,1,2655,1
R,98,2,2655,1
R,98,3,2662.5,1
R,100,1,2713.75,1
R,100,2,2716.25,1
R,100,3,2717.5,1
R,102,1,2772.5,1
R,102,2,2767.5,1
R,102,3,2767.5,1
R,104,1,2822.5,1
R,104,2,2827.5,1
R,104,3,2833.75,1
R,106,1,2876.25,1
R,106,2,2875,1
R,106,3,2877.5,1
R,108,1,2936.25,1
R,108,2,2937.5,1
R,108,3,2937.5,1
R,110,1,2998.75,1
R,110,2,3000,1
R,110,3,2998.75,1
R,112,1,3057.5,1
